score,alpha,mode,split,threshold,cal_accept_rate,cal_failure_rate,cal_weighted_failure_rate,n,accept_rate,accepted_failure_rate,accepted_weighted_failure_rate,all_failure_rate
combined,0.05,unweighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
combined,0.05,unweighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
combined,0.05,unweighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
combined,0.05,severity_weighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
combined,0.05,severity_weighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
combined,0.05,severity_weighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
combined,0.1,unweighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
combined,0.1,unweighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
combined,0.1,unweighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
combined,0.1,severity_weighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
combined,0.1,severity_weighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
combined,0.1,severity_weighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
combined,0.15,unweighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
combined,0.15,unweighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
combined,0.15,unweighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
combined,0.15,severity_weighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
combined,0.15,severity_weighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
combined,0.15,severity_weighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
combined,0.2,unweighted,calibration,0.3635898256067716,0.6350308641975309,0.19987849331713245,0.19987849331713245,2592,0.6350308641975309,0.19987849331713245,0.22965527623061868,0.33834876543209874
combined,0.2,unweighted,validation_in_distribution,0.3635898256067716,0.6350308641975309,0.19987849331713245,0.19987849331713245,1296,0.5833333333333334,0.2552910052910053,0.2582071117467334,0.4243827160493827
combined,0.2,unweighted,shifted_L3_test,0.3635898256067716,0.6350308641975309,0.19987849331713245,0.19987849331713245,1296,0.6126543209876543,0.27204030226700254,0.27204030226700254,0.4182098765432099
combined,0.2,severity_weighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
combined,0.2,severity_weighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
combined,0.2,severity_weighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
violation_rate,0.05,unweighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
violation_rate,0.05,unweighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
violation_rate,0.05,unweighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
violation_rate,0.05,severity_weighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
violation_rate,0.05,severity_weighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
violation_rate,0.05,severity_weighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
violation_rate,0.1,unweighted,calibration,0.8,0.7222222222222222,0.08493589743589744,0.08493589743589744,2592,0.7222222222222222,0.08493589743589744,0.10829296854207696,0.33834876543209874
violation_rate,0.1,unweighted,validation_in_distribution,0.8,0.7222222222222222,0.08493589743589744,0.08493589743589744,1296,0.6242283950617284,0.07911001236093942,0.09087597887452192,0.4243827160493827
violation_rate,0.1,unweighted,shifted_L3_test,0.8,0.7222222222222222,0.08493589743589744,0.08493589743589744,1296,0.6813271604938271,0.14609286523216308,0.14609286523216303,0.4182098765432099
violation_rate,0.1,severity_weighted,calibration,0.4,0.7091049382716049,0.06855277475516866,0.09089675388122896,2592,0.7091049382716049,0.06855277475516866,0.09089675388122896,0.33834876543209874
violation_rate,0.1,severity_weighted,validation_in_distribution,0.4,0.7091049382716049,0.06855277475516866,0.09089675388122896,1296,0.6111111111111112,0.06060606060606061,0.07308311656137743,0.4243827160493827
violation_rate,0.1,severity_weighted,shifted_L3_test,0.4,0.7091049382716049,0.06855277475516866,0.09089675388122896,1296,0.6728395061728395,0.13761467889908258,0.13761467889908255,0.4182098765432099
violation_rate,0.15,unweighted,calibration,0.8,0.7222222222222222,0.08493589743589744,0.08493589743589744,2592,0.7222222222222222,0.08493589743589744,0.10829296854207696,0.33834876543209874
violation_rate,0.15,unweighted,validation_in_distribution,0.8,0.7222222222222222,0.08493589743589744,0.08493589743589744,1296,0.6242283950617284,0.07911001236093942,0.09087597887452192,0.4243827160493827
violation_rate,0.15,unweighted,shifted_L3_test,0.8,0.7222222222222222,0.08493589743589744,0.08493589743589744,1296,0.6813271604938271,0.14609286523216308,0.14609286523216303,0.4182098765432099
violation_rate,0.15,severity_weighted,calibration,0.8,0.7222222222222222,0.08493589743589744,0.10829296854207696,2592,0.7222222222222222,0.08493589743589744,0.10829296854207696,0.33834876543209874
violation_rate,0.15,severity_weighted,validation_in_distribution,0.8,0.7222222222222222,0.08493589743589744,0.10829296854207696,1296,0.6242283950617284,0.07911001236093942,0.09087597887452192,0.4243827160493827
violation_rate,0.15,severity_weighted,shifted_L3_test,0.8,0.7222222222222222,0.08493589743589744,0.10829296854207696,1296,0.6813271604938271,0.14609286523216308,0.14609286523216303,0.4182098765432099
violation_rate,0.2,unweighted,calibration,0.8,0.7222222222222222,0.08493589743589744,0.08493589743589744,2592,0.7222222222222222,0.08493589743589744,0.10829296854207696,0.33834876543209874
violation_rate,0.2,unweighted,validation_in_distribution,0.8,0.7222222222222222,0.08493589743589744,0.08493589743589744,1296,0.6242283950617284,0.07911001236093942,0.09087597887452192,0.4243827160493827
violation_rate,0.2,unweighted,shifted_L3_test,0.8,0.7222222222222222,0.08493589743589744,0.08493589743589744,1296,0.6813271604938271,0.14609286523216308,0.14609286523216303,0.4182098765432099
violation_rate,0.2,severity_weighted,calibration,0.8,0.7222222222222222,0.08493589743589744,0.10829296854207696,2592,0.7222222222222222,0.08493589743589744,0.10829296854207696,0.33834876543209874
violation_rate,0.2,severity_weighted,validation_in_distribution,0.8,0.7222222222222222,0.08493589743589744,0.10829296854207696,1296,0.6242283950617284,0.07911001236093942,0.09087597887452192,0.4243827160493827
violation_rate,0.2,severity_weighted,shifted_L3_test,0.8,0.7222222222222222,0.08493589743589744,0.10829296854207696,1296,0.6813271604938271,0.14609286523216308,0.14609286523216303,0.4182098765432099
violation_tail,0.05,unweighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
violation_tail,0.05,unweighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
violation_tail,0.05,unweighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
violation_tail,0.05,severity_weighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
violation_tail,0.05,severity_weighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
violation_tail,0.05,severity_weighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
violation_tail,0.1,unweighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
violation_tail,0.1,unweighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
violation_tail,0.1,unweighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
violation_tail,0.1,severity_weighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
violation_tail,0.1,severity_weighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
violation_tail,0.1,severity_weighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
violation_tail,0.15,unweighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
violation_tail,0.15,unweighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
violation_tail,0.15,unweighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
violation_tail,0.15,severity_weighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
violation_tail,0.15,severity_weighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
violation_tail,0.15,severity_weighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
violation_tail,0.2,unweighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
violation_tail,0.2,unweighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
violation_tail,0.2,unweighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
violation_tail,0.2,severity_weighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
violation_tail,0.2,severity_weighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
violation_tail,0.2,severity_weighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
regret_cvar,0.05,unweighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
regret_cvar,0.05,unweighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
regret_cvar,0.05,unweighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
regret_cvar,0.05,severity_weighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
regret_cvar,0.05,severity_weighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
regret_cvar,0.05,severity_weighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
regret_cvar,0.1,unweighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
regret_cvar,0.1,unweighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
regret_cvar,0.1,unweighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
regret_cvar,0.1,severity_weighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
regret_cvar,0.1,severity_weighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
regret_cvar,0.1,severity_weighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
regret_cvar,0.15,unweighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
regret_cvar,0.15,unweighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
regret_cvar,0.15,unweighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
regret_cvar,0.15,severity_weighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
regret_cvar,0.15,severity_weighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
regret_cvar,0.15,severity_weighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
regret_cvar,0.2,unweighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
regret_cvar,0.2,unweighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
regret_cvar,0.2,unweighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
regret_cvar,0.2,severity_weighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
regret_cvar,0.2,severity_weighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
regret_cvar,0.2,severity_weighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
rank_instability,0.05,unweighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
rank_instability,0.05,unweighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
rank_instability,0.05,unweighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
rank_instability,0.05,severity_weighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
rank_instability,0.05,severity_weighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
rank_instability,0.05,severity_weighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
rank_instability,0.1,unweighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
rank_instability,0.1,unweighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
rank_instability,0.1,unweighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
rank_instability,0.1,severity_weighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
rank_instability,0.1,severity_weighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
rank_instability,0.1,severity_weighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
rank_instability,0.15,unweighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
rank_instability,0.15,unweighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
rank_instability,0.15,unweighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
rank_instability,0.15,severity_weighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
rank_instability,0.15,severity_weighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
rank_instability,0.15,severity_weighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
rank_instability,0.2,unweighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
rank_instability,0.2,unweighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
rank_instability,0.2,unweighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
rank_instability,0.2,severity_weighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
rank_instability,0.2,severity_weighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
rank_instability,0.2,severity_weighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
uncertainty,0.05,unweighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
uncertainty,0.05,unweighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
uncertainty,0.05,unweighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
uncertainty,0.05,severity_weighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
uncertainty,0.05,severity_weighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
uncertainty,0.05,severity_weighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
uncertainty,0.1,unweighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
uncertainty,0.1,unweighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
uncertainty,0.1,unweighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
uncertainty,0.1,severity_weighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
uncertainty,0.1,severity_weighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
uncertainty,0.1,severity_weighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
uncertainty,0.15,unweighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
uncertainty,0.15,unweighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
uncertainty,0.15,unweighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
uncertainty,0.15,severity_weighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
uncertainty,0.15,severity_weighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
uncertainty,0.15,severity_weighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
uncertainty,0.2,unweighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
uncertainty,0.2,unweighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
uncertainty,0.2,unweighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
uncertainty,0.2,severity_weighted,calibration,-1e-09,0.0,0.0,0.0,2592,0.0,0.0,0.0,0.33834876543209874
uncertainty,0.2,severity_weighted,validation_in_distribution,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4243827160493827
uncertainty,0.2,severity_weighted,shifted_L3_test,-1e-09,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.4182098765432099
