method,cost_mean,cost_sem,violation_rate_mean,violation_rate_sem,observed_risk_mean,compute_ms_mean,prediction_error_mean,freezing_rate_mean,fallback_rate_mean
ccr_mpc,28.89935562616031,1.2308984223723802,0.008783670033670034,0.0035132722156067013,0.09166666666666666,45.085288636095946,0.015440772110953314,0.11824915824915826,0.0
ccr_no_calibration,28.56392848931026,1.210735127879551,0.020606060606060607,0.005150745326789416,0.175,40.562069219008436,0.015584665159167543,0.12057239057239057,0.0
conformal_prediction_mpc,36.941257355356484,1.8263026054194316,0.0007575757575757576,0.0005334314214034689,0.016666666666666666,41.764425123155,0.01472688958125558,0.4372180134680134,0.0
conformal_risk_non_ccr,34.21174467211139,1.5150760718906418,0.0020075757575757575,0.0008835799093355228,0.041666666666666664,40.902621651184134,0.015168332414374345,0.3677020202020202,0.0
cvar_ra_mppi,28.365904466799446,1.2199759605572973,0.006468855218855219,0.0027692332814187887,0.075,43.73331930151498,0.015695408454735726,0.1446422558922559,0.0
learned_risk_executed_logistic,28.339865700289316,1.2199693350244902,0.008367003367003367,0.0031039382992878116,0.09166666666666666,44.065504684793765,0.01571503319796479,0.13482323232323232,0.0
learned_risk_executed_rf,28.337559755187094,1.2175900687359553,0.023973063973063972,0.005653648122974867,0.19166666666666668,179.4397232371024,0.015569930809772797,0.13956228956228955,0.0
learned_risk_executed_selected,28.351072416986316,1.217528323296342,0.02664983164983165,0.006275161638427202,0.20833333333333334,179.31684053711675,0.015459889389965861,0.14291666666666666,0.0
oracle_mpc,28.287230863493598,1.2233739753395325,0.006308922558922558,0.0022271007890555844,0.09166666666666666,7.385080368088898,0.015705984304947206,0.14917087542087543,0.0
vanilla_mppi,28.282377966838467,1.220586837775933,0.01542929292929293,0.004175606600078577,0.15833333333333333,41.213310161162894,0.01564592252531394,0.14357744107744105,0.0
